               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.018558,           0.0072624,           0.0011325,             0.94827,              0.8032,             0.92821,             0.60519,            0.027635,            0.010236,             0.01214,            0.003565,            0.003565,            0.003565
                  67,            0.018304,           0.0071608,           0.0012989,             0.95282,             0.80011,             0.92713,             0.60437,            0.027974,            0.010544,             0.01292,            0.003466,            0.003466,            0.003466
                  68,            0.018644,           0.0073732,            0.001395,             0.90978,             0.85862,             0.93286,             0.62503,            0.027154,           0.0094513,           0.0098986,            0.003367,            0.003367,            0.003367
                  69,             0.01801,           0.0071757,           0.0013401,              0.8679,             0.84478,             0.88526,             0.57809,            0.028513,            0.009947,            0.011001,            0.003268,            0.003268,            0.003268
                  70,             0.01823,           0.0070964,           0.0014452,             0.95238,             0.82606,              0.9065,             0.59003,            0.030053,           0.0095797,            0.011699,            0.003169,            0.003169,            0.003169
                  71,            0.017377,           0.0070957,           0.0011779,             0.94253,             0.82376,              0.9051,             0.59164,            0.027561,            0.010336,            0.012924,             0.00307,             0.00307,             0.00307
                  72,            0.017804,            0.007232,           0.0012519,             0.94667,             0.81108,             0.90725,             0.61936,            0.027172,            0.010331,             0.01088,            0.002971,            0.002971,            0.002971
                  73,            0.017328,           0.0065667,           0.0011524,             0.90882,             0.81702,             0.91247,             0.60458,            0.027326,            0.010348,            0.011261,            0.002872,            0.002872,            0.002872
                  74,            0.016972,           0.0067113,            0.001216,             0.90641,             0.82195,             0.90609,             0.61117,            0.027871,            0.010859,            0.012095,            0.002773,            0.002773,            0.002773
                  75,            0.016794,           0.0068845,           0.0011632,              0.9019,             0.82821,             0.93112,             0.61665,            0.028116,           0.0098882,            0.010446,            0.002674,            0.002674,            0.002674
                  76,            0.016388,           0.0069126,           0.0011735,             0.91207,             0.82157,             0.92842,             0.60317,            0.028557,             0.01093,            0.011127,            0.002575,            0.002575,            0.002575
                  77,            0.016353,           0.0067137,           0.0010882,             0.90402,             0.83318,             0.90284,             0.60553,            0.027692,            0.010654,            0.012046,            0.002476,            0.002476,            0.002476
                  78,            0.016612,           0.0067275,           0.0010203,             0.98474,             0.78613,             0.89444,             0.58957,            0.028647,            0.010574,            0.011477,            0.002377,            0.002377,            0.002377
                  79,            0.015823,           0.0066134,          0.00092553,             0.96047,             0.80494,             0.91425,             0.61041,            0.027797,            0.010524,             0.01057,            0.002278,            0.002278,            0.002278
                  80,            0.015657,           0.0068367,          0.00087071,             0.92082,             0.79957,             0.91877,             0.61001,            0.028655,           0.0099117,            0.012455,            0.002179,            0.002179,            0.002179
                  81,            0.015784,           0.0065772,           0.0010853,             0.93789,              0.7886,             0.92058,             0.59855,            0.028166,            0.010808,            0.012232,             0.00208,             0.00208,             0.00208
                  82,            0.015553,            0.006681,          0.00089893,             0.97095,             0.78721,             0.93155,             0.60732,            0.028052,            0.010223,            0.013204,            0.001981,            0.001981,            0.001981
                  83,            0.015599,           0.0064565,           0.0010501,             0.94706,             0.81277,             0.93858,             0.60943,            0.028598,            0.010353,             0.01217,            0.001882,            0.001882,            0.001882
                  84,            0.015478,           0.0064857,          0.00097406,             0.95321,             0.80457,             0.93739,             0.62268,            0.028113,            0.010603,            0.012694,            0.001783,            0.001783,            0.001783
                  85,            0.015216,            0.006593,          0.00093851,             0.91499,             0.81656,             0.93087,             0.61439,            0.027813,            0.009894,            0.012261,            0.001684,            0.001684,            0.001684
                  86,            0.015245,           0.0064377,           0.0010511,             0.98139,             0.78106,             0.91436,             0.59707,            0.028574,            0.010454,            0.014553,            0.001585,            0.001585,            0.001585
                  87,            0.014677,           0.0064512,          0.00089017,             0.95751,             0.79353,              0.9374,             0.61582,            0.028449,            0.010449,            0.013052,            0.001486,            0.001486,            0.001486
                  88,            0.014216,           0.0062343,          0.00083201,             0.95612,             0.79938,             0.93981,              0.6134,            0.028805,            0.010545,            0.012335,            0.001387,            0.001387,            0.001387
                  89,            0.014613,           0.0062223,          0.00080257,             0.95539,             0.79858,             0.93732,             0.60547,             0.02874,            0.010856,            0.012127,            0.001288,            0.001288,            0.001288
                  90,            0.013804,           0.0063478,          0.00060874,             0.95653,             0.79764,             0.93846,             0.61365,            0.028597,            0.010734,            0.012209,            0.001189,            0.001189,            0.001189
                  91,            0.014122,           0.0063078,          0.00074641,             0.95887,             0.79247,             0.93823,             0.61798,            0.027475,            0.010642,            0.012868,             0.00109,             0.00109,             0.00109
                  92,            0.013881,           0.0060143,          0.00072888,             0.95566,             0.80194,             0.94194,             0.61178,            0.027997,              0.0106,            0.013469,            0.000991,            0.000991,            0.000991
                  93,            0.013803,           0.0060827,          0.00070979,             0.95675,             0.79344,             0.93806,             0.62697,            0.027932,             0.01069,            0.013536,            0.000892,            0.000892,            0.000892
                  94,             0.01365,           0.0060548,          0.00091122,             0.96168,             0.78758,             0.93672,             0.60845,            0.028103,            0.010512,            0.013507,            0.000793,            0.000793,            0.000793
                  95,            0.013606,           0.0060634,          0.00068867,             0.96498,             0.79799,             0.94124,             0.63094,            0.027591,            0.010301,            0.012918,            0.000694,            0.000694,            0.000694
                  96,            0.013218,            0.006103,          0.00066132,             0.94773,             0.80343,             0.93957,             0.62527,            0.027574,            0.010203,            0.012885,            0.000595,            0.000595,            0.000595
                  97,            0.013529,           0.0060561,          0.00066785,             0.94083,              0.8039,             0.93924,             0.63027,            0.027616,            0.010422,            0.013292,            0.000496,            0.000496,            0.000496
                  98,            0.013141,           0.0057273,          0.00074499,             0.95007,             0.80372,             0.94049,             0.62539,            0.028193,            0.010577,            0.012409,            0.000397,            0.000397,            0.000397
                  99,            0.013045,            0.006003,           0.0006622,             0.95149,              0.8036,             0.93384,             0.62652,            0.027956,            0.010531,            0.012256,            0.000298,            0.000298,            0.000298
